date,text
2018-03-29 00:32:00.000,Cc : @jokowi @kemenhub151 @KemenBUMN @KAI121 @RailinkARS @AngkasaPura_2 @aniesbaswedan @LAPOR1708 @DKIJakarta
2018-03-29 00:18:00.000,Terus taksi daring dilarang. Taksi dgn reputasi bagus seperti Blue Bird gak boleh angkut penumpang di dalam @baliairport . Ini kan bandit yg bekerja. @baliairport is a joke. @baliairport is a sad start for a beautiful island. #lapor @LAPOR1708 @AP_Airports @kemenhub151
2018-03-29 00:12:00.000,Ternyata oh ternyata taksi argo malah ditaruh di dekat pintu gerbang keluar @baliairport . Penumpang harus jalan lumayan jauh dan gak ada informasi soal ini. Bandit kan? #lapor @LAPOR1708 @AP_Airports
2018-03-29 00:09:00.000,Cari taksi lain adanya taksi gelap. Supir-supir tembak dibiarkan berkeliaran di @baliairport dan pasang harga minimal Rp 100000 untuk jarak dekat. Ada yg ramah banyak jg yg sepertinya bukan supir tapi preman. Kongsi para bandit. #lapor @LAPOR1708 @AP_Airports
2018-03-29 00:07:00.000,Kondisi transportasi dari @baliairport sangat menyedihkan. Ada loket taksi resmi tapi patok harga Rp 150000 utk perjalanan 75 km ke Sunset Road (tarif zonasi). Mahal banget. #lapor @LAPOR1708 @AP_Airports
2018-03-28 23:40:00.000,waduh...question sy gk direspon nih sama admin @atr_bpn gmn cara mensertipikatkan scr mandiri diluar ptsl cc @LAPOR1708
2018-03-28 22:35:00.000,Gak arah yang bisa lawan proyek strategis railink bang
2018-03-28 22:23:00.000,Ini bagaimana ini kok nggak ada tanggapan dari pihak XL? sudah dari Oktober 2017 nggak ada reaksi @YLKI_ID @Kemenkumham_RI @aduanBRTI @jokowi @rudiantara_id @LAPOR1708 @OmbudsmanRI137 Mohon maaf pak @ChatibBasri mengganggu anda tapi kinerja bawahan anda sudah hopeless
2018-03-28 22:16:00.000,Bro kalo ada info bagaimana saldo Uber gift kabar2in ya di mention di Twitter gak da kejelasan bagaimana saldo ni @bank_indonesia
2018-03-28 21:18:00.000,Duri-Tangerah sudah tidak manusiawi coba dong bapak kepala stasiun nyobain naik kereta itu seperti kita gmn coba? memangnya tidak di analisis dulu ya perpindahan gerbong itu akan seperti apa? Jangan bilang comuterline dong kalo gak ngerti perpindahan penduduk secara besar2an
2018-03-28 20:34:00.000,Yg byr 3rb tlg tau diri.yg byr 70rb jgn d ganggu @RailinkARS *padahal di pancasila ad sila yg berbunyi keadilan sosial bg SELURUH rakyat indonesia.apa gw yg salah belajar http:// PMP.cc @LAPOR1708 @jokowi @kemenhub151 @YLKI_ID @DPR_RI @OmbudsmanRI137 @KAI121 @BudiKaryaS
2018-03-28 19:58:00.000,Belum mbak. Tapi dari Admin @LAPOR1708 nya sudah diteruskan ke Kementerian BUMN. Semoga lekas mendapatkan jawaban yang menggembirakan..
2018-03-28 19:56:00.000,Tapi sudh dapet tanggapan atau respon belum mas dr email tsb?
2018-03-28 19:53:00.000,"@LAPOR1708 Tolong dikaji ulang penerapan jadual Commuterline Tng-Duri pp dari 4slot per jam menjadi 3slot. Pada jam sibuk 4slot saja berdesakan apalagi dihilangkan 1slot. Lihatlah besok betapa ""indahnya"" perjalanan CL."
2018-03-28 19:37:00.000,@LAPOR1708 @CommuterLine @OmbudsmanRI137 @YLKI_ID @kemenhub151 @KAI121 @RailinkARS @BudiKaryaS @KemenBUMN Colek semua lembaga terkait mengenai masalah perubahan jadwal KRL Tangerang-Duri dan perpindahan jalur peron di Stasiun Duri
2018-03-28 19:20:00.000,"Jawabannya spt biasa...""akan kami sampaikan ke unit terkait...."" Dah gt aja"
2018-03-28 19:05:00.000,08 96 8018 4209 kenapa bukan pihak Alfamart resmi atau pusat yg wa atau balas e-mail atau telpon? Sy jd ragu jangan2 ni wa oknum Alfamart yg diperkarakan karna menipu saya.
2018-03-28 19:05:00.000,08 96 8018 4209 kenapa bukan pihak Alfamart resmi atau pusat yg wa atau balas e-mail atau telpon? Sy jd ragu jangan2 ni wa oknum Alfamart yg diperkarakan karna menipu saya.
2018-03-28 18:50:00.000,Mana ditanggepin pns kai kan goblok dan malas sama kaya menterinya
2018-03-28 18:07:00.000,Klik aja gambarnya..
2018-03-28 18:06:00.000,Udah Bang. https://www. change.org/p/budi-karya-s umadi-menhub-ri-kembalikan-kereta-commuterline-tangerang-duri-ke-jalur-4-stasiun-duri?recruiter=866241446&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition …
2018-03-28 18:06:00.000,Udah buat petisi juga belum mas??
2018-03-28 17:45:00.000,The hell? Kepada @IndosatCare @IM3Ooredoo kok administrasi anda parah begitu Kepada bp. @JoyWahjudi mohon bantuannya @kemkominfo @Kemendagri_RI @jokowi @LAPOR1708 @detikcom @kompascom @OmbudsmanRI137 @Kemenkumham_RI
2018-03-28 17:28:00.000,Apakah dapat dengan menggunakan Surat Pindah Saja dan Photocopy KTP sebelumnya yang sudah Hilang dan Expired? Terima Kasih. Tupa Marni Mohon ditindaklanjuti terima kasih LAMPIRAN: Surat Pindah dan foto KTP lama INFORMASI TAMBAHAN: Saya sudah pernah coba Me @LAPOR1708 @LAPOR1708
2018-03-28 17:16:00.000,Sampai sekarang masih belum menyala TVTelp dan Internet serta tidak ada petugas yang Ke rumah.Terhitung 2 hari ini off dari @TelkomCare @TelkomPromo @LAPOR1708 @kominfo_depok
2018-03-28 17:12:00.000,Terima kasih. In syaa Allaah segera sepulang dari tugas
2018-03-28 17:08:00.000,Mohon dukungannya dan menandatangani petisi ini ya Bang! https://www. change.org/p/budi-karya-s umadi-menhub-ri-kembalikan-kereta-commuterline-tangerang-duri-ke-jalur-4-stasiun-duri?recruiter=866241446&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition …
2018-03-28 17:08:00.000,Mohon dukungannya dan menandatangani petisi ini ya Bang! https://www. change.org/p/budi-karya-s umadi-menhub-ri-kembalikan-kereta-commuterline-tangerang-duri-ke-jalur-4-stasiun-duri?recruiter=866241446&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition …
2018-03-28 17:06:00.000,Mohon maaf silahkan infokan wa nya melalui pesan Sahabat. :) ^ad
2018-03-28 16:54:00.000,Mohon maaf silahkan infokan wa nya melalui pesan Sahabat. :) ^ad
2018-03-28 16:38:00.000,Mohon maaf silahkan infokan wa nya melalui pesan Sahabat. :) ^ad
2018-03-28 16:17:00.000,Bisa kirim laporan resmi ke @LAPOR1708 di: http:// lapor.go.id dan @OmbudsmanRI137 karena ini lembaga resmi untuk menampung keluhan seputar pelayanan publik. Contohnya yg tadi gw buat laporan ke @LAPOR1708 via website mereka. pic.twitter.com/h3KgFVQehN
2018-03-28 16:14:00.000,"protes yang benar dan dapat didengar dimana ya? di twitter cuma dijawab ""mohon maaf akan kami sampaikan ke instansi terkait"" protes lewat email cuma diread apa malah diread habis itu didelete"
2018-03-28 16:11:00.000,Coba ke @LAPOR1708
2018-03-28 16:06:00.000,Colek Presiden @jokowi . InsyaAllah bermanfaat dan tidak terjadi penyimpangan operasional di level bawah. Yuk bantu Presiden mengawal #UangKita . Ada indikasi penyelewengan silahkan mention @LAPOR1708 bisa @KPK_RI atau @KemenkeuRI . Hiduplah Indonesia Raya... https:// twitter.com/KemenkeuRI/sta tus/978601550862888960 …
2018-03-28 16:04:00.000,Apakah Bener itu pihak Alfamart? KLw emang Bener kenapa tidak ada confirmasi Dr CC Alfamart? KLw bukan kenapa No HP sy disebar ke petugas Anda ?
2018-03-28 15:39:00.000,Iya ada video dari mbak @Iputrii1 yang ngeliatin kejadian di Jalur 5 sore/malam hari kalo eskalator yg arah turun malah dipake untuk naik lagi karena dibawah calon penumpang udah gak bisa gerak lagi. Kebayang capeknya karena itu seperti naik treadmill yang nanjak.
2018-03-28 15:33:00.000,Setuju... Posisi eskalator yg tidak bebas dari penumpang yg berdiri bisa jg berbahaya
2018-03-28 15:30:00.000,Betul... Salah memprioritaskan dan sepertinya salah desain stasiunnya juga...
2018-03-28 15:28:00.000,"Klo kyk gni namanya.... Gak mendukung program ""Ayo naik angkutan umum""...bisa jd pnyebab kemacetan krn manajemen KCI yg buruk"
2018-03-28 14:49:00.000,silakan gunakan layanan Aspirasi dan pengaduan online rakyat https:// lapor.go.id / jika ada aspirasi dan pengaduan yg perlu disampaikan atau @LAPOR1708  semoga bermanfaat. pic.twitter.com/fQr2GJeaCG
2018-03-28 14:10:00.000,0896 8018 4209 kenapa bukan Dr No resmi Alfamart ya?
2018-03-28 14:05:00.000,Mohon maaf silahkan infokan wa nya melalui pesan Sahabat. :) ^ad
2018-03-28 14:05:00.000,Mohon maaf silahkan infokan wa nya melalui pesan Sahabat. :) ^ad
2018-03-28 14:00:00.000,Ok sip.
2018-03-28 13:53:00.000,Ada pihak wa saya katanya dari Alfamart? Apa Bener itu? Apalagi Dr No hanya bukan No CC Alfamart serta tak jua Dr pihak Alfamart resmi sebagai mediator karna kalo Dr tersangka ya was2 jg KLw ke rumah sy?
2018-03-28 13:52:00.000,"Mungkin admin @CommuterLine ini dulunya yang bermain sebagai Mpok Minah di sinetron Bajaj Bajuri yang kalo tiap ngomong selalu diawali kata ""Maaf""..."
2018-03-28 13:50:00.000,Jangan pesimis dulu Mas... Sudah final kalau kita sudah berusaha maksimal. Coba dibuatkan aja dulu laporannya jadwal CL yang baru dan suasana hiruk pikuk jalur 5 bisa jadi bukti pendukung yg dilampirkan.
2018-03-28 13:48:00.000,Tiap hari adminnya lebaran kog...minta maaf mulu
2018-03-28 13:45:00.000,Iya nih ikut jg. Sptnya sdh final bakal tetep jalur 5 untuk 10 gerbong atau 12 gerbong (rencana) tp fasilitasnya msh minim rusuh klo jam sibuk. Gak kasian sama ibu hamil disabilitas lansia ortu bawa anak? @CommuterLine gak ditanggepin jwbn template
2018-03-28 13:29:00.000,Makanya laporin lewat jalur resmi aja Mbak... Kalau komplain ke admin @CommuterLine doang mah percuma kyk ngomong sama tembok.
2018-03-28 13:27:00.000,Ini keluh kesah kaya cuma di anggap angin aja kali yasampe dia bikin jadwal baru.gokiiil
2018-03-28 13:19:00.000,wah terimakasih banyak atas sarannya
2018-03-28 13:11:00.000,Penumpang @CommuterLine jalur TNG - DURI yang belum bikin laporan resmi ke @LAPOR1708 di: http:// lapor.go.id  yuk laporkan saja! Ini ikhtiar kita demi kenyamanan dan keselamatan kita bersama. Kalau komplain ke akun @CommuterLine tidak direspon kita pakai jalur resmi. pic.twitter.com/UigoFu3hOb
2018-03-28 13:11:00.000,Ayo kita rame2 @LAPOR1708 @CommuterLine Jalur 5 TNG -DURI ke @OmbudsmanRI137 @YLKI_ID @kemenhub151 @KAI121 @RailinkARS @BudiKaryaS @KemenBUMN krn kebijakannya membahayakan nyawa penumpang CL jalur TNG - DURI. Tiap hari kl mo komplain mslh CL jgn lupa jg utk mention mereka trs.
